headline,clickbait,detoxified_headline,detox_confidence,detox_predicted_label

32 Indian Comedians' Most Retweeted Jokes On Twitter,1,Popular Jokes from 32 Indian Comedians on Twitter,0.9999953508377075,1
"Which Season 41 ""SNL"" Cast Member Are You",1,"Find out which ""SNL"" cast member from Season 41 are you most like.",0.9999955892562866,1
Gigi Hadid's 16-Year-Old Brother Just Got A Modeling Contract,1,"Gigi Hadid's brother, 16, signs modeling contract.",0.0011145034804940224,0
Which Movie Starring A Pop Star Are You,1,Find out which movie starring a pop star matches your personality.,0.9999845027923584,1
Here's What Happens When You Mix Beer And Mac And Cheese,1,Combining Beer With Mac And Cheese: A Taste Test,0.9995349645614624,1
23 Pictures That Will Make All Responsible Adults Extremely Angry,1,23 Pictures Highlighting Issues That Concern Many Adults,0.9999953508377075,1
69 Excellent Indie Records You May Have Missed In 2015,1,69 Notable Indie Record Releases from 2015,0.9999951124191284,1
Can We Talk About How Creepy The Hug Emoji Is,1,A discussion on the interpretation of the hug emoji.,0.9999794960021973,1
17 Itty Bitty Kitty Committees That Run The World,1,17 Adorable Kittens in Unusually Responsible Roles,0.9999953508377075,1
"Which 2016 Critics' Choice ""Best Picture"" Nominee Should You See",1,Here are the 2016 Critics' Choice Best Picture Nominees.,0.999991774559021,1
What Percentage Do You Have Of Winning The Royal Rumble,1,Calculating Your Chances Of Winning The Royal Rumble,1.574971065565478e-05,0
"This ""Star Wars"" J. Crew Collection Will Rule The Galaxy",1,"J. Crew launches a ""Star Wars"" themed collection.",0.9990416169166565,1
Should You Date A Member Of One Direction Or 5 Seconds Of Summer,1,Who should you date: a member of One Direction or 5 Seconds of Summer?,0.9999926090240479,1
29 Gifts That Help Empower Women All Over The World,1,International gift guide for women's empowerment.,3.417658808757551e-05,0
17 Cheesy Soups That Are Equal Parts Gooey And Delicious,1,17 Cheesy Soup Recipes for Your Comfort Food Cravings,0.9999953508377075,1
"Disney's New ""Frozen"" Plane Is The Epitome Of Chill",1,"Disney unveils ""Frozen""-themed plane with unique design.",0.9724707007408142,1
Gerard Butler Looked Like Grumpy Cat At The Golden Globes Afterparty,1,Gerard Butler Attends Golden Globes Afterparty With A Stern Expression.,0.9982050657272339,1
"Which Secondary ""Vampire Diaries"" Character Are You",1,"Find out which ""Vampire Diaries"" secondary character you are most like.",0.9999946355819702,1
People Try Suicide Sprints For The First Time,1,The Intense Challenge of Suicide Sprints.,1.872953180281911e-05,0
Being A Gay Guy: Thoughts Vs. Real Life,1,Gay man shares his personal thoughts and experiences.,0.9993347525596619,1
This Mac And Cheeseburger Is The Only Friend You Need,1,A tasty cheeseburger and macaroni combination.,0.9999810457229614,1
Which Made-Up Award Would You Be Nominated For,1,What fictional award best describes your personality?,0.9388725161552429,1
19 Songs That Are Actually Fuckboy Anthems,1,"19 Songs That May Be Considered ""Fuckboy"" Anthems",0.9999951124191284,1
