headline,clickbait,detoxified_headline,detox_confidence,detox_predicted_label
We investigated social media addiction — what we found might surprise you.,1,Study uncovers insights into social media addiction.,7.872052265156526e-06,0
Everyone's talking about vaccination updates — find out why.,1,Latest vaccination updates and what they mean.,8.114333468256518e-06,0
What happened next with space exploration missions shocked the world.,1,Space agencies achieve major successes in recent missions.,7.432797701767413e-06,0
We investigated ocean pollution — what we found might surprise you.,1,Study uncovers surprising facts about ocean pollution.,7.678464498894755e-06,0
What happened next with vaccination updates shocked the world.,1,Latest vaccination updates: global reactions and responses.,6.9474790507229045e-06,0
Everyone's talking about AI breakthroughs — find out why.,1,Recent AI advancements spark interest and excitement.,7.516511686844751e-06,0
You won't believe what experts are saying about space exploration missions.,1,Experts share insights on recent space exploration missions.,7.930947504064534e-06,0
They said TV series finales was impossible — until now.,1,A TV series pulls off an impressive series finale.,7.669923434150405e-06,0
Everyone's talking about climate change — find out why.,1,"The importance of addressing climate change, and why it's a pressing issue.",2.8634605769184418e-05,0
What happened next with DIY home improvement shocked the world.,1,DIY home improvement trend gains global popularity.,8.786675607552752e-06,0
Everyone's talking about quantum computing — find out why.,1,Quantum computing gains traction with new advancements.,7.847766028135084e-06,0
We investigated vaccination updates — what we found might surprise you.,1,Here's what you need to know about recent vaccination updates.,0.9999940395355225,1
Here's how robotic surgery advancements is making headlines everywhere.,1,Robotic surgery advancements are gaining widespread attention.,9.364714969706256e-06,0
Here's how hurricane disaster response is making headlines everywhere.,1,Effective strategies for hurricane disaster response.,8.199840522138402e-06,0
You won't believe what experts are saying about climate change.,1,Climate change: Experts share insights and predictions.,7.448266842402518e-06,0
The real story behind social media addiction will blow your mind.,1,Understanding social media addiction: a comprehensive analysis.,1.8288223145646043e-05,0
Everyone's talking about energy crisis — find out why.,1,Energy crisis sparks widespread discussion and concern.,7.2343118517892435e-06,0
Here's how global diplomacy is making headlines everywhere.,1,Recent global diplomacy efforts have made waves in international relations.,7.283851573447464e-06,0
Here's how quantum computing is making headlines everywhere.,1,Quantum computing gains traction across industries.,7.922481927380431e-06,0
You won't believe what experts are saying about robotic surgery advancements.,1,Latest advancements in robotic surgery: Expert opinions.,8.090657502179965e-06,0
Here's how social media addiction is making headlines everywhere.,1,The impact of social media addiction is gaining attention.,7.801493484294042e-05,0
Everyone's talking about celebrity scandals — find out why.,1,Recent celebrity scandals spark public discussion.,7.153870228648884e-06,0
Here's how cybersecurity threats is making headlines everywhere.,1,Cybersecurity threats are making headlines.,7.45874331187224e-06,0
We investigated AI breakthroughs — what we found might surprise you.,1,AI breakthroughs: a closer look at recent advancements.,9.256955308956094e-06,0
You won't believe what experts are saying about social media addiction.,1,Latest research reveals concerning insights about social media addiction.,7.604822712892201e-06,0
We investigated space exploration missions — what we found might surprise you.,1,Report reveals insights and surprises from space exploration missions.,8.00256384536624e-06,0
The real story behind TV series finales will blow your mind.,1,Exploring the creative choices behind TV series finales.,0.002161904238164425,0
Here's how celebrity scandals is making headlines everywhere.,1,Recent celebrity scandals attract widespread media attention.,7.045197889965493e-06,0
We investigated renewable energy innovation — what we found might surprise you.,1,Renewable energy innovation: our findings and surprises.,7.975736480148043e-06,0
Everyone's talking about global diplomacy — find out why.,1,Global diplomacy gains renewed attention with recent developments.,7.463297151844017e-06,0
This shocking discovery about TV series finales changes everything.,1,New research reveals surprising trends in TV series finales.,7.5782963904202916e-06,0
Here's how war in Eastern Europe is making headlines everywhere.,1,Recent developments in the Eastern European conflict are attracting global media attention.,7.163858754211105e-06,0
You won't believe what experts are saying about TV series finales.,1,Experts weigh in on surprising TV series finale trends.,7.464706868631765e-06,0
You won't believe what experts are saying about gene editing research.,1,Latest gene editing research prompts expert debate.,7.2458633439964615e-06,0
Everyone's talking about hurricane disaster response — find out why.,1,Public discourse focuses on hurricane disaster response strategies.,7.377283509413246e-06,0
Everyone's talking about economic forecasts — find out why.,1,Here's what the latest economic forecasts indicate.,0.015567956492304802,0
We investigated TV series finales — what we found might surprise you.,1,A look into TV series finales and their impact.,1.5175490261754021e-05,0
You won't believe what experts are saying about political unrest.,1,Experts weigh in on political unrest: key insights.,7.191184067778522e-06,0
The real story behind DIY home improvement will blow your mind.,1,DIY home improvement: practical tips for impressive results.,0.0029391422867774963,0
We investigated celebrity scandals — what we found might surprise you.,1,A look into recent celebrity scandals and their unexpected revelations.,1.3203845810494386e-05,0
We investigated economic forecasts — what we found might surprise you.,1,Our analysis of economic forecasts uncovers interesting insights.,7.743928108538967e-06,0
Everyone's talking about gene editing research — find out why.,1,Gene-editing research gains traction and sparks ethical debates.,7.932543667266145e-06,0
You won't believe what experts are saying about housing market shifts.,1,Experts weigh in on recent housing market shifts.,7.442813512170687e-06,0
The real story behind new movie releases will blow your mind.,1,A behind-the-scenes look at the making of recent movie releases.,0.2570720911026001,0
They said robotic surgery advancements was impossible — until now.,1,Robotic surgery makes significant advancements.,8.439435077889357e-06,0
Here's how political unrest is making headlines everywhere.,1,Political unrest gains global media attention.,7.350379746640101e-06,0
You won't believe what experts are saying about celebrity scandals.,1,Experts weigh in on recent celebrity scandals.,7.19254239811562e-06,0
You won't believe what experts are saying about renewable energy innovation.,1,Latest reports suggest experts are optimistic about renewable energy innovation.,7.035999260551762e-06,0
Here's how space exploration missions is making headlines everywhere.,1,Space exploration missions: an update on recent developments.,8.489912943332456e-06,0
You won't believe what experts are saying about war in Eastern Europe.,1,Experts weigh in on the war in Eastern Europe.,7.35655066819163e-06,0
Here's how deep sea discoveries is making headlines everywhere.,1,Recent deep sea discoveries attract widespread attention.,7.282441401912365e-06,0
You won't believe what experts are saying about vaccination updates.,1,Latest vaccination updates spark mixed reactions from experts.,6.984867468418088e-06,0
We investigated robotic surgery advancements — what we found might surprise you.,1,Robotic surgery advancements: our in-depth investigation.,9.83956670097541e-06,0
What happened next with TV series finales shocked the world.,1,TV series finales bring unexpected twists and surprises.,8.247137884609401e-06,0
What happened next with robotic surgery advancements shocked the world.,1,Robotic surgery advancements make groundbreaking progress.,8.508442078891676e-06,0
You won't believe what experts are saying about privacy law changes.,1,Experts weigh in on recent privacy law reforms.,7.2355815063929185e-06,0
This social media addiction event left scientists stunned.,1,Scientists study surprising effects of social media addiction.,8.911138138500974e-06,0
Everyone's talking about cybersecurity threats — find out why.,1,Understanding the latest concerns about cybersecurity threats.,9.287657121603843e-06,0
They said celebrity scandals was impossible — until now.,1,Recent events reveal surprising insights into celebrity scandals.,7.318408279388677e-06,0
What happened next with new movie releases shocked the world.,1,Movie industry surprises audiences with unexpected releases.,7.694487067055888e-06,0
They said social media addiction was impossible — until now.,1,Research confirms social media addiction is real.,7.1929812293092255e-06,0
Here's how ocean pollution is making headlines everywhere.,1,The growing issue of ocean pollution and its media coverage.,8.436441930825822e-06,0
You won't believe what experts are saying about DIY home improvement.,1,Expert opinions offer insights into DIY home improvement trends.,1.1031577741960064e-05,0
We investigated privacy law changes — what we found might surprise you.,1,Here's what you need to know about recent privacy law changes.,0.9999938011169434,1
We investigated quantum computing — what we found might surprise you.,1,Here's what we learned about quantum computing.,0.9999887943267822,1
This new movie releases event left scientists stunned.,1,Scientists react to new film about scientific discovery.,7.986598575371318e-06,0
You won't believe what experts are saying about ocean pollution.,1,Experts shed light on ocean pollution issues.,7.1715007834427524e-06,0
Here's how new movie releases is making headlines everywhere.,1,Recent movie releases are generating buzz.,8.330596756422892e-06,0
This shocking discovery about social media addiction changes everything.,1,New research sheds light on the complexities of social media addiction.,9.895304174278863e-06,0
Everyone's talking about TV series finales — find out why.,1,Discussing the unexpected trends in TV series finales.,0.8261988759040833,1
Everyone's talking about deep sea discoveries — find out why.,1,Recent deep sea discoveries spark interest in the scientific community.,7.276471478689928e-06,0
This shocking discovery about DIY home improvement changes everything.,1,A surprising DIY home improvement discovery.,5.00769674545154e-05,0
Everyone's talking about war in Eastern Europe — find out why.,1,Tensions rise in Eastern Europe as Russia-Ukraine conflict escalates.,7.138849923649104e-06,0
Here's how economic forecasts is making headlines everywhere.,1,Economic forecasts are making news headlines.,7.2957254815264605e-06,0
You won't believe what experts are saying about new movie releases.,1,Movie critics give surprising takes on recent releases.,1.2428149602783378e-05,0
Here's how gene editing research is making headlines everywhere.,1,Gene editing research makes significant advancements.,8.398681529797614e-06,0
